timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
990238826,-0.0133715,-0.0604622,-0.0146858,0.001043,0,0.0774337,0.225023,-10.1679,0.001043,0,0.0273223,-0.162526,-1.05263,-6559,-61264.1,64.69
990239891,-0.0107178,-0.0604337,-0.0132496,0.001184,0,0.103901,0.300443,-10.2225,0.001184,0,0.0273223,-0.162526,-1.05263,-7624,-61264.1,64.69
990240911,-0.00918652,-0.0615275,-0.0128596,0.001029,0,0.125556,0.316264,-10.1922,0.001029,0,0.0273223,-0.162526,-1.05263,-8644,-61264.1,64.69
990243864,-0.0135807,-0.0645616,-0.015713,0.001184,0,0.107811,0.275531,-10.2237,0.001184,0,0.0417129,-0.155331,-1.04916,-11597,-61264.1,64.69
990246886,-0.0130671,-0.061071,-0.0133161,0.001043,0,0.0379048,0.276475,-10.1536,0.001043,0,0.0417129,-0.155331,-1.04916,-14619,-61264.1,64.69
990250796,-0.00909775,-0.0612992,-0.0116295,0.0009,0,0.0810428,0.290138,-10.2338,0.0009,0,0.0417129,-0.155331,-1.04916,-18529,-61264.1,64.69
990254829,-0.0155781,-0.0659154,-0.0180211,0.0009,0,0.0674082,0.252521,-10.2338,0.0009,0,0.0381152,-0.140941,-1.04569,-2475,-61264.1,64.69
990257836,-0.00789299,-0.0621362,-0.0133922,0.001043,0,0.138274,0.336845,-10.1987,0.001043,0,0.0381152,-0.140941,-1.04569,-5482,-61264.1,64.69
990261848,-0.00834953,-0.0584839,-0.0124791,0.001036,0,0.0925578,0.247662,-10.2799,0.001036,0,0.0381152,-0.140941,-1.04569,-9494,-61264.1,64.69
990264817,-0.0138027,-0.0570382,-0.0165119,0.000894,0,0.0762306,0.309347,-10.2295,0.000894,0,0.0309199,-0.155331,-1.0561,-12463,-61264.1,64.69
990267901,-0.0175755,-0.0623645,-0.00592587,0.001184,0,0.133977,0.288437,-10.293,0.001184,0,0.0309199,-0.155331,-1.0561,-15547,-61264.1,64.69
990271884,-0.0153118,-0.0612992,-0.014448,0.001176,0,0.113224,0.289338,-10.1812,0.001176,0,0.0309199,-0.155331,-1.0561,-19530,-61264.1,64.69
990274862,-0.00998547,-0.0630747,-0.0143814,0.000894,0,0.102297,0.254522,-10.2936,0.000894,0,0.0543047,-0.139142,-1.0509,-2561,-61264.1,64.7
990278870,-0.0178608,-0.0620601,-0.0130118,0.001043,0,0.124868,0.241144,-10.2786,0.001043,0,0.0543047,-0.139142,-1.0509,-6569,-61264.1,64.7
