timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
990234407,0,0.0,0.0,0,-5.35942,1.04766,1.43364,0.0,0.0,0.0,-0.0188204,0.00735679,-0.00723121,0.0,0.0,0.0,0.0,0.0,0.0,0.115978,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990239374,0,0.0,0.0,0,-5.35951,1.0477,1.4336,0.0,0.0,0.0,-0.0192779,0.00749914,-0.00729312,0.0,0.0,0.0,0.0,0.0,0.0,0.11598,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990239374,0,0.0,0.0,0,-5.35951,1.0477,1.4336,0.0,0.0,0.0,-0.0192779,0.00749914,-0.00729312,0.0,0.0,0.0,0.0,0.0,0.0,0.11598,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990244370,0,0.0,0.0,0,-5.35961,1.04773,1.43356,0.0,0.0,0.0,-0.0197956,0.00767449,-0.0073584,0.0,0.0,0.0,0.0,0.0,0.0,0.115985,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990249429,0,0.0,0.0,0,-5.35971,1.04777,1.43352,0.0,0.0,0.0,-0.0203009,0.00783439,-0.00749869,0.0,0.0,0.0,0.0,0.0,0.0,0.11599,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990254482,0,0.0,0.0,0,-5.35982,1.04781,1.43349,0.0,0.0,0.0,-0.0209221,0.00805625,-0.00764962,0.0,0.0,0.0,0.0,0.0,0.0,0.115987,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990259444,0,0.0,0.0,0,-5.35993,1.04786,1.43345,0.0,0.0,0.0,-0.0215633,0.00824301,-0.00783074,0.0,0.0,0.0,0.0,0.0,0.0,0.115987,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990264475,0,0.0,0.0,0,-5.36004,1.0479,1.43341,0.0,0.0,0.0,-0.0221959,0.00832186,-0.00806472,0.0,0.0,0.0,0.0,0.0,0.0,0.115992,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990269966,0,0.0,0.0,0,-5.36015,1.04794,1.43336,0.0,0.0,0.0,-0.0227395,0.00842206,-0.00836846,0.0,0.0,0.0,0.0,0.0,0.0,0.115994,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990274462,0,0.0,0.0,0,-5.36027,1.04798,1.43332,0.0,0.0,0.0,-0.0232588,0.00870934,-0.00846809,0.0,0.0,0.0,0.0,0.0,0.0,0.115996,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990284619,0,0.0,0.0,0,-5.36051,1.04807,1.43324,0.0,0.0,0.0,-0.0243296,0.00913672,-0.00861943,0.0,0.0,0.0,0.0,0.0,0.0,0.115993,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990289640,0,0.0,0.0,0,-5.36063,1.04812,1.43319,0.0,0.0,0.0,-0.0248863,0.00937669,-0.00868541,0.0,0.0,0.0,0.0,0.0,0.0,0.11599,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990294505,0,0.0,0.0,0,-5.36076,1.04817,1.43315,0.0,0.0,0.0,-0.0253009,0.00956986,-0.00873769,0.0,0.0,0.0,0.0,0.0,0.0,0.115992,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990300064,0,0.0,0.0,0,-5.36089,1.04822,1.4331,0.0,0.0,0.0,-0.0256062,0.00958766,-0.00879601,0.0,0.0,0.0,0.0,0.0,0.0,0.116002,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990304528,0,0.0,0.0,0,-5.36102,1.04826,1.43306,0.0,0.0,0.0,-0.0260408,0.00960522,-0.00890663,0.0,0.0,0.0,0.0,0.0,0.0,0.116013,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990309509,0,0.0,0.0,0,-5.36115,1.04831,1.43301,0.0,0.0,0.0,-0.0265643,0.00968774,-0.00905631,0.0,0.0,0.0,0.0,0.0,0.0,0.116017,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990314575,0,0.0,0.0,0,-5.35939,1.04769,1.43381,0.0,0.0,0.0,-0.0165024,0.00669263,-0.00522342,0.0,0.0,0.0,0.0,0.0,0.0,0.115949,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990319518,0,0.0,0.0,0,-5.35947,1.04773,1.43378,0.0,0.0,0.0,-0.01703,0.00682047,-0.00549842,0.0,0.0,0.0,0.0,0.0,0.0,0.115951,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
990324508,0,0.0,0.0,0,-5.35956,1.04776,1.43375,0.0,0.0,0.0,-0.017513,0.00701505,-0.00572477,0.0,0.0,0.0,0.0,0.0,0.0,0.115961,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
