timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1437080139,1437079257,-0.0135184,0.00276597,-6.44459e-05,0.08,0.0,0.0,0.0,-1.0
1437081331,1437080051,-0.0135318,0.0031094,-6.657e-05,0.08,0.0,0.0,0.0,-1.0
1437082206,1437081233,-0.0134162,0.00268582,-5.57593e-05,0.08,0.0,0.0,0.0,-1.0
1437084242,1437083154,-0.0134349,0.00194652,-8.49264e-06,0.08,0.0,0.0,0.0,-1.0
1437087165,1437086078,-0.0135223,0.00306007,-5.68871e-05,0.08,0.0,0.0,0.0,-1.0
1437090245,1437089089,-0.0137664,0.00295172,-6.76617e-05,0.08,0.0,0.0,0.0,-1.0
1437094099,1437093304,-0.0136552,0.00283709,-8.90839e-05,0.08,0.0,0.0,0.0,-1.0
1437097346,1437096047,-0.0134161,0.00301036,-4.14888e-05,0.08,0.0,0.0,0.0,-1.0
1437100202,1437099131,-0.0134408,0.00238442,-4.1503e-05,0.08,0.0,0.0,0.0,-1.0
1437104210,1437103117,-0.0137254,0.00270038,-7.66931e-05,0.08,0.0,0.0,0.0,-1.0
1437108219,1437107161,-0.0136145,0.00275816,-7.06656e-05,0.08,0.0,0.0,0.0,-1.0
1437111195,1437110135,-0.0134922,0.00218596,-6.94593e-05,0.08,0.0,0.0,0.0,-1.0
1437115345,1437114160,-0.0133723,0.00313127,-4.25931e-05,0.08,0.0,0.0,0.0,-1.0
1437118328,1437117101,-0.0140478,0.00206728,-9.08119e-05,0.08,0.0,0.0,0.0,-1.0
1437121190,1437120257,-0.0133796,0.00179634,-4.57591e-05,0.08,0.0,0.0,0.0,-1.0
1437125186,1437124156,-0.0139194,0.0029021,-7.83925e-05,0.08,0.0,0.0,0.0,-1.0
1437129151,1437128220,-0.013427,0.00208195,-0.000112845,0.08,0.0,0.0,0.0,-1.0
1437132170,1437131079,-0.0138603,0.00243346,-0.000101503,0.08,0.0,0.0,0.0,-1.0
1437136224,1437135138,-0.0137561,0.00227929,-3.63292e-05,0.08,0.0,0.0,0.0,-1.0
1437139201,1437138322,-0.0135659,0.00220489,-7.14368e-05,0.08,0.0,0.0,0.0,-1.0
1437143214,1437142269,-0.0135022,0.00230463,-7.04735e-05,0.08,0.0,0.0,0.0,-1.0
1437146225,1437145106,-0.0138321,0.00268567,-6.11486e-05,0.08,0.0,0.0,0.0,-1.0
1437150280,1437149126,-0.0133376,0.00349454,-7.79867e-05,0.08,0.0,0.0,0.0,-1.0
1437153361,1437152239,-0.0137622,0.00226253,-2.73603e-05,0.08,0.0,0.0,0.0,-1.0
1437157206,1437156121,-0.0131326,0.00272173,-6.81946e-05,0.08,0.0,0.0,0.0,-1.0
1437160149,1437159155,-0.0137285,0.00199881,-8.98744e-05,0.08,0.0,0.0,0.0,-1.0
1437164260,1437163129,-0.0132744,0.00240249,-6.6056e-05,0.08,0.0,0.0,0.0,-1.0
1437167132,1437166265,-0.0138083,0.00276117,-5.67007e-05,0.08,0.0,0.0,0.0,-1.0
1437171248,1437170153,-0.0131796,0.0021757,-0.000119723,0.08,0.0,0.0,0.0,-1.0
1437174265,1437173140,-0.0137868,0.00325919,-1.71234e-05,0.08,0.0,0.0,0.0,-1.0
1437177311,1437176106,-0.0133155,0.00214063,-3.19207e-05,0.08,0.0,0.0,0.0,-1.0
1437181289,1437180215,-0.0138338,0.00245037,-4.08705e-05,0.08,0.0,0.0,0.0,-1.0
1437185243,1437184078,-0.0131221,0.00201448,-5.86535e-05,0.08,0.0,0.0,0.0,-1.0
1437188165,1437187175,-0.0137506,0.00309482,-2.01529e-05,0.08,0.0,0.0,0.0,-1.0
1437192128,1437191125,-0.0130344,0.00201926,-7.26915e-05,0.08,0.0,0.0,0.0,-1.0
1437195226,1437194110,-0.0139528,0.00218816,-8.06599e-05,0.08,0.0,0.0,0.0,-1.0
1437199221,1437198062,-0.013073,0.00251898,-8.49236e-05,0.08,0.0,0.0,0.0,-1.0
1437206329,1437205165,-0.0133389,0.0028967,-6.22412e-05,0.08,0.0,0.0,0.0,-1.0
1437209215,1437208167,-0.0132655,0.00304182,-2.29414e-05,0.08,0.0,0.0,0.0,-1.0
1437213257,1437212220,-0.01322,0.00269441,-8.39424e-05,0.08,0.0,0.0,0.0,-1.0
1437216207,1437215071,-0.0136594,0.00263129,-5.45963e-05,0.08,0.0,0.0,0.0,-1.0
1437220223,1437219072,-0.0130831,0.00250816,-5.07213e-05,0.08,0.0,0.0,0.0,-1.0
1437223266,1437222178,-0.0136947,0.00288342,-7.43311e-05,0.08,0.0,0.0,0.0,-1.0
1437227217,1437226220,-0.0128749,0.00211356,-8.54434e-05,0.08,0.0,0.0,0.0,-1.0
1437230208,1437229086,-0.013526,0.00267038,-0.000105696,0.08,0.0,0.0,0.0,-1.0
1437234181,1437233110,-0.0131866,0.00265368,-8.40831e-05,0.08,0.0,0.0,0.0,-1.0
1437237172,1437236219,-0.0136462,0.00247613,-8.51423e-05,0.08,0.0,0.0,0.0,-1.0
1437241180,1437240114,-0.01326,0.00268251,-2.60695e-05,0.08,0.0,0.0,0.0,-1.0
1437244259,1437243097,-0.0134642,0.00217585,-8.51533e-05,0.08,0.0,0.0,0.0,-1.0
1437248286,1437247237,-0.0134402,0.00176386,6.95873e-08,0.08,0.0,0.0,0.0,-1.0
1437251214,1437250167,-0.0137599,0.00253873,-9.5255e-05,0.08,0.0,0.0,0.0,-1.0
1437255347,1437254104,-0.0128424,0.00167517,-8.08807e-05,0.08,0.0,0.0,0.0,-1.0
1437256231,1437255251,-0.0127212,0.0019326,-5.43345e-05,0.08,0.0,0.0,0.0,-1.0
1437262275,1437261153,-0.0132134,0.00215756,-5.61424e-05,0.08,0.0,0.0,0.0,-1.0
1437265185,1437264056,-0.0131709,0.00259457,-7.76664e-05,0.08,0.0,0.0,0.0,-1.0
1437269119,1437268193,-0.0131897,0.00255204,-3.90646e-05,0.08,0.0,0.0,0.0,-1.0
1437272383,1437271155,-0.0134463,0.00319733,-5.13011e-05,0.08,0.0,0.0,0.0,-1.0
1437275242,1437274105,-0.0133896,0.00233108,-1.23548e-05,0.08,0.0,0.0,0.0,-1.0
1437278222,1437277073,-0.0134831,0.0028309,-7.22e-05,0.08,0.0,0.0,0.0,-1.0
1437282168,1437281181,-0.0133857,0.0020916,2.17994e-06,0.08,0.0,0.0,0.0,-1.0
1437286277,1437285112,-0.0134677,0.00236629,-5.87854e-05,0.08,0.0,0.0,0.0,-1.0
1437287359,1437286187,-0.013583,0.00284,-5.34583e-05,0.08,0.0,0.0,0.0,-1.0
1437292158,1437291121,-0.0131483,0.00208011,-3.11101e-05,0.08,0.0,0.0,0.0,-1.0
1437296184,1437295090,-0.0134512,0.00222052,-1.96667e-05,0.08,0.0,0.0,0.0,-1.0
1437300188,1437299141,-0.0132705,0.00253236,-5.74151e-05,0.08,0.0,0.0,0.0,-1.0
1437304234,1437303136,-0.013002,0.00217136,1.3845e-05,0.08,0.0,0.0,0.0,-1.0
1437307122,1437306201,-0.013167,0.00331954,-4.52664e-05,0.08,0.0,0.0,0.0,-1.0
1437310195,1437309076,-0.0136468,0.00262796,2.0984e-05,0.08,0.0,0.0,0.0,-1.0
1437313202,1437312198,-0.0128084,0.00255209,-4.58344e-05,0.08,0.0,0.0,0.0,-1.0
1437317306,1437316123,-0.0133679,0.00273062,4.59805e-06,0.08,0.0,0.0,0.0,-1.0
1437321255,1437320109,-0.0131492,0.00256714,-7.27733e-06,0.08,0.0,0.0,0.0,-1.0
1437324186,1437323092,-0.0131951,0.00275596,-3.03771e-06,0.08,0.0,0.0,0.0,-1.0
1437327213,1437326048,-0.0130104,0.00216574,3.47845e-05,0.08,0.0,0.0,0.0,-1.0
1437332216,1437331099,-0.0131114,0.00231888,-1.76307e-05,0.08,0.0,0.0,0.0,-1.0
1437335259,1437334220,-0.012808,0.00298694,-1.00308e-05,0.08,0.0,0.0,0.0,-1.0
1437339178,1437338131,-0.0133919,0.0020962,-3.41845e-05,0.08,0.0,0.0,0.0,-1.0
1437342175,1437341115,-0.0133623,0.00245539,2.09932e-05,0.08,0.0,0.0,0.0,-1.0
1437346236,1437345074,-0.0133349,0.00221588,1.32274e-05,0.08,0.0,0.0,0.0,-1.0
1437349189,1437348097,-0.012884,0.0027825,-1.02825e-05,0.08,0.0,0.0,0.0,-1.0
1437353207,1437352083,-0.0134783,0.00219042,-7.41568e-06,0.08,0.0,0.0,0.0,-1.0
1437356385,1437355083,-0.0129475,0.00355782,-1.72172e-05,0.08,0.0,0.0,0.0,-1.0
1437360299,1437359127,-0.0135252,0.00218149,2.33972e-05,0.08,0.0,0.0,0.0,-1.0
1437363224,1437362173,-0.0127753,0.00179409,-5.53779e-05,0.08,0.0,0.0,0.0,-1.0
1437367242,1437366100,-0.0134861,0.00248321,5.35675e-06,0.08,0.0,0.0,0.0,-1.0
1437369271,1437368139,-0.012989,0.00268081,-9.30477e-06,0.08,0.0,0.0,0.0,-1.0
1437372271,1437371165,-0.0130154,0.00224599,1.19082e-06,0.08,0.0,0.0,0.0,-1.0
1437380156,1437379097,-0.0134832,0.0021365,-4.35799e-05,0.08,0.0,0.0,0.0,-1.0
1437384164,1437383180,-0.0126138,0.00271709,-4.70633e-05,0.08,0.0,0.0,0.0,-1.0
1437388128,1437387256,-0.0133572,0.00252065,3.57103e-05,0.08,0.0,0.0,0.0,-1.0
1437391244,1437390088,-0.0128268,0.00199221,-1.34156e-05,0.08,0.0,0.0,0.0,-1.0
1437392198,1437391153,-0.0131326,0.00201599,-1.79883e-05,0.08,0.0,0.0,0.0,-1.0
