timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1437073225,4,-0.816667,-0.863695,-0.854951,-0.824687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437126209,4,-0.817264,-0.863051,-0.855586,-0.824099,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437180308,4,-0.817268,-0.863006,-0.855879,-0.823846,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437229167,4,-0.818211,-0.862223,-0.854986,-0.82458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437279267,4,-0.817154,-0.863173,-0.85567,-0.824003,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437336231,4,-0.816751,-0.863271,-0.854389,-0.825589,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437386192,4,-0.817402,-0.862737,-0.854783,-0.825078,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437439359,4,-0.818769,-0.861223,-0.855864,-0.824143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437493120,4,-0.818483,-0.861572,-0.855532,-0.824412,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437546327,4,-0.818973,-0.860997,-0.855336,-0.824695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437600216,4,-0.817466,-0.862661,-0.854805,-0.825068,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437653230,4,-0.81902,-0.860991,-0.856101,-0.823889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437702213,4,-0.818548,-0.861614,-0.855427,-0.824411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437756201,4,-0.818912,-0.861134,-0.85513,-0.824824,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437809216,4,-0.820248,-0.860093,-0.856045,-0.823614,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437863236,4,-0.818783,-0.861298,-0.854473,-0.825446,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437912237,4,-0.81977,-0.86039,-0.854712,-0.825128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1437965141,4,-0.81904,-0.861126,-0.854415,-0.825419,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438018328,4,-0.819526,-0.860505,-0.854516,-0.825453,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438072268,4,-0.819585,-0.860684,-0.855054,-0.824677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438121172,4,-0.819908,-0.86018,-0.855325,-0.824587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438174233,4,-0.819712,-0.86053,-0.854125,-0.825633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438228195,4,-0.820447,-0.859688,-0.855214,-0.82465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438281236,4,-0.820682,-0.859269,-0.853729,-0.82632,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438334184,4,-0.819305,-0.860666,-0.854755,-0.825275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438388182,4,-0.82134,-0.858951,-0.854401,-0.825308,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438437198,4,-0.821828,-0.857996,-0.85406,-0.826115,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438497198,4,-0.817451,-0.863119,-0.853739,-0.82569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438549264,4,-0.815661,-0.863617,-0.855818,-0.824904,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438602207,4,-0.804715,-0.874771,-0.848384,-0.832131,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438654192,4,-0.79632,-0.886819,-0.851683,-0.825178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438707157,4,-0.815721,-0.862251,-0.870437,-0.81159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438759182,4,-0.795321,-0.883218,-0.868265,-0.813197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438812221,4,-0.838334,-0.832514,-0.857794,-0.831359,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438864266,4,-0.804537,-0.877065,-0.807157,-0.871242,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438917152,4,-0.836539,-0.844663,-0.795388,-0.88341,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1438969214,4,-0.792951,-0.89348,-0.837201,-0.836368,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439022224,4,-0.741695,-0.946287,-0.850287,-0.821731,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439074205,4,-0.847846,-0.833906,-0.907442,-0.770806,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439127275,4,-0.889951,-0.794311,-0.855447,-0.820291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439176141,4,-0.821252,-0.857768,-0.880251,-0.800729,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439232252,4,-0.787721,-0.894367,-0.870494,-0.807418,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439284200,4,-0.916606,-0.761907,-0.933914,-0.747573,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439337240,4,-0.900243,-0.775522,-0.902339,-0.781897,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439379130,4,-0.851408,-0.826035,-0.942599,-0.739957,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1439442104,4,-0.728018,-0.948807,-0.864975,-0.818199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
