timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
1437080051,-0.0146828,-0.0031215,-0.00916013,0.00075,0,0.0828575,0.128381,-9.6703,0.00075,0,-0.707345,-0.395988,0.726266,-8430,-61361.8,57.0
1437081233,-0.0149008,0.0105972,-0.013836,0.001192,0,-0.0578487,0.0846538,-9.76216,0.001192,-1182,-0.707345,-0.395988,0.726266,-9612,-61361.8,57.0
1437082110,-0.0135472,0.00598103,-0.016239,0.0009,0,-0.00917086,0.192003,-9.76134,0.0009,0,-0.707345,-0.395988,0.726266,-10489,-61361.8,57.0
1437084155,-0.0174659,-0.00133297,-0.0125948,0.0009,0,0.0640581,0.136616,-9.89876,0.0009,0,-0.707438,-0.406848,0.729634,-12534,-61361.8,57.0
1437087070,-0.00789479,-0.00465157,-0.00863265,0.0009,0,-0.0421552,0.129262,-9.83947,0.0009,0,-0.707438,-0.406848,0.729634,-15449,-61361.8,57.0
1437091052,-0.0158018,0.00306883,-0.0085124,0.0009,0,0.0809111,0.045927,-9.66919,0.0009,-896,-0.707438,-0.406848,0.729634,-19431,-61361.8,57.0
1437094013,-0.0107046,-0.00417403,-0.010446,0.00075,-709,0.0605484,0.107018,-9.6157,0.001332,-709,-0.707438,-0.406848,0.729634,-2420,-61362.4,56.99
1437098070,-0.0141496,0.00320561,-0.0137055,0.000894,0,0.0513544,0.0190459,-9.74131,0.000894,0,-0.704008,-0.406911,0.736668,-6477,-61362.4,56.99
1437101110,-0.00827335,-0.00302348,-0.00639519,0.001043,0,0.0290245,0.0827232,-9.62374,0.001043,0,-0.704008,-0.406911,0.736668,-9517,-61362.4,56.99
1437104125,-0.0144337,-0.00561044,-0.00658796,0.001043,0,0.0746,0.102484,-9.72599,0.001043,0,-0.704008,-0.406911,0.736668,-12532,-61362.4,56.99
1437108111,-0.00964921,0.00354373,-0.00896088,0.001043,0,-0.0827672,0.132666,-9.70197,0.001043,0,-0.704008,-0.406911,0.736668,-16518,-61362.4,56.99
1437111105,-0.0192549,0.00682965,-0.012125,0.0009,0,-0.0888811,0.0739081,-9.85323,0.0009,0,-0.704008,-0.406911,0.736668,-19512,-61362.4,56.99
1437115241,-0.00425894,0.00502417,-0.00844415,0.0009,0,0.0491038,0.0873269,-9.52837,0.0009,0,-0.687955,-0.416014,0.7457,-3640,-61362.6,56.99
1437118227,-0.0141022,0.0070556,-0.0103449,0.001043,0,0.0220499,0.0426599,-9.69376,0.001043,-1126,-0.687955,-0.416014,0.7457,-6626,-61362.6,56.99
1437122146,-0.0105514,0.0022748,-0.00890846,0.0009,0,-0.00936813,0.119708,-9.71051,0.0009,0,-0.687955,-0.416014,0.7457,-10545,-61362.6,56.99
1437125097,-0.0145061,0.00811723,-0.00718722,0.0009,0,0.0204066,0.0885367,-9.79182,0.0009,0,-0.689145,-0.421221,0.723063,-13496,-61362.6,56.99
1437129057,-0.0109747,0.0031397,-0.00642549,0.000894,0,-0.0173622,0.0837891,-9.75377,0.000894,0,-0.689145,-0.421221,0.723063,-17456,-61362.6,56.99
1437132082,-0.0112748,0.00543678,-0.0162959,0.001043,0,-0.0229932,0.0909158,-9.62338,0.001043,0,-0.689145,-0.421221,0.723063,-551,-61361.9,56.99
1437136135,-0.0115965,-0.000935645,-0.0101211,0.001043,0,0.0128501,0.127838,-9.62035,0.001043,0,-0.678955,-0.410616,0.747732,-4604,-61361.9,56.99
1437139104,-0.0160726,0.00321537,-0.0148239,0.000894,0,0.0417451,0.12465,-9.76934,0.000894,0,-0.678955,-0.410616,0.747732,-7573,-61361.9,56.99
1437143129,-0.0115951,-0.00626174,-0.0101699,0.001043,0,-0.0656647,0.086265,-9.71424,0.001043,0,-0.678955,-0.410616,0.747732,-11598,-61361.9,56.99
1437146126,-0.0127038,0.010312,-0.00860202,0.00105,0,-0.0543049,0.0678234,-9.86637,0.00105,0,-0.676522,-0.426651,0.725095,-14595,-61361.9,56.99
1437150195,-0.00989844,-0.00769973,-0.0109739,0.00105,0,0.114785,0.104023,-9.51957,0.00105,0,-0.676522,-0.426651,0.725095,-18664,-61361.9,56.99
1437153272,-0.0126779,0.00593248,-0.00399802,0.001036,0,0.00903828,0.0497228,-9.71835,0.001036,0,-0.68581,-0.424926,0.733532,-1604,-61361.9,56.99
1437157118,-0.0132288,0.00502173,-0.00842389,0.0009,0,0.0147542,0.161008,-9.77494,0.0009,0,-0.68581,-0.424926,0.733532,-5450,-61361.9,56.99
1437160043,-0.0137324,0.000107359,-0.0127279,0.00075,-888,-0.0130382,0.105981,-9.73679,0.001184,-888,-0.68581,-0.424926,0.733532,-8375,-61361.9,56.99
1437164156,-0.00937666,0.000463976,-0.00502329,0.001043,0,0.0885982,0.104869,-9.61267,0.001043,-1027,-0.698054,-0.41215,0.717697,-12488,-61361.9,56.99
1437167049,-0.0183344,-0.00307253,-0.0165422,0.0009,0,-0.0487988,0.114275,-9.77192,0.0009,0,-0.698054,-0.41215,0.717697,-15381,-61361.9,56.99
1437171156,-0.0093077,-0.00352051,-0.0103104,0.001036,0,0.108076,0.154919,-9.66163,0.001036,0,-0.698054,-0.41215,0.717697,-19488,-61361.9,56.99
1437174181,-0.0115649,-0.00136267,-0.00919165,0.001184,0,0.0660255,0.0955345,-9.73771,0.001184,0,-0.683859,-0.419464,0.72843,-2618,-61362.3,57.0
1437177221,-0.0126661,0.00157384,-0.0099752,0.00105,0,0.0864603,0.089108,-9.68438,0.00105,0,-0.683859,-0.419464,0.72843,-5658,-61362.3,57.0
1437181204,-0.0127552,0.00754712,-0.0127394,0.000894,0,-0.0752012,0.11731,-9.79897,0.000894,0,-0.683859,-0.419464,0.72843,-9641,-61362.3,57.0
1437185154,-0.0122052,0.00464452,-0.0129032,0.00105,-1076,-0.00323625,0.109891,-9.8496,0.000755,-1076,-0.691193,-0.419496,0.731699,-13591,-61362.3,57.0
