timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
199705870,-0.010851,-0.053909,-3.3526e-07,0.001176,0,-0.966815,0.6477,-10.1905,0.001176,0,0.207205,-1.22384,0.976589,-4649,-61246.6,73.62
199707897,-0.0391661,-0.0216562,-0.0181098,0.001029,0,-0.0504335,-0.158465,-11.2803,0.001029,-1122,0.149643,-1.25262,1.00781,-6676,-61246.6,73.62
199708715,-0.0044816,-0.0639624,-0.0190863,0.000888,0,0.995763,0.597077,-10.8726,0.000888,0,0.149643,-1.25262,1.00781,-7494,-61246.6,73.62
199709815,0.0117859,-0.0757469,-0.014448,0.001176,0,0.750842,1.28069,-9.94158,0.001176,0,0.149643,-1.25262,1.00781,-8594,-61246.6,73.62
199714722,0.0418574,-0.10968,-0.0245014,0.000894,0,1.17261,1.73279,-9.50388,0.000894,0,0.149643,-1.25262,1.00781,-13501,-61246.6,73.62
199716844,-0.0372638,-0.0126014,0.000151845,0.001036,0,-0.372164,-0.628735,-10.072,0.001036,0,0.131654,-1.22384,1.00781,-15623,-61246.6,73.62
199721733,-0.0201435,-0.0389287,-0.00563102,0.001036,0,0.119369,0.340275,-9.77039,0.001036,0,0.131654,-1.22384,1.00781,-543,-61247.2,73.62
199724785,0.0016183,-0.0415919,-0.0251101,0.001036,0,-0.698363,0.508008,-8.70686,0.001036,0,0.131654,-1.22384,1.00781,-3595,-61247.2,73.62
199727744,-0.016022,-0.0424796,-0.00612561,0.000888,0,-0.562189,0.675512,-11.2925,0.000888,0,0.128057,-1.22024,0.938433,-6554,-61247.2,73.62
199731843,-0.0345246,-0.108932,-0.0256428,0.001029,0,3.32636,-0.21026,-12.2789,0.001029,0,0.128057,-1.22024,0.938433,-10653,-61247.2,73.62
199735765,-0.089614,-0.0379522,-0.0150916,0.000888,0,-1.31851,2.65521,-15.8321,0.000888,0,0.212602,-1.30478,0.974855,-14575,-61247.2,73.62
199737902,-0.00106388,-0.0460526,0.00805573,0.001176,0,0.063298,-0.172571,-12.6096,0.001176,0,0.212602,-1.30478,0.974855,-16712,-61247.2,73.62
199742800,-0.0231111,-0.0558968,0.021381,0.001029,0,-3.26774,-1.04995,-11.8749,0.001029,0,0.212602,-1.30478,0.974855,-1610,-61247.4,73.62
199745875,-0.0131147,-0.0953877,-0.032158,0.001176,0,-1.01614,2.21321,-8.84245,0.001176,0,0.212602,-1.30478,0.974855,-4685,-61247.4,73.62
199748814,-0.012116,-0.0139837,0.000709841,0.000888,0,0.67896,2.14298,-8.60179,0.000888,0,0.140648,-1.31917,1.0026,-7624,-61247.4,73.62
199752802,-0.0999623,0.0497926,-0.0185664,0.001036,0,-0.628242,-1.74764,-9.89744,0.001036,0,0.140648,-1.31917,1.0026,-11612,-61247.4,73.62
199755792,0.0459409,-0.112254,-0.00816736,0.000888,0,0.768788,1.60113,-8.76117,0.000888,0,0.171228,-1.25262,0.962714,-14602,-61247.4,73.62
199759761,0.0307609,-0.116782,0.00532599,0.000888,0,1.15457,1.29819,-8.77272,0.000888,0,0.171228,-1.25262,0.962714,-18571,-61247.4,73.62
199762753,0.00652613,-0.0145164,-0.0249453,0.000888,0,-2.39323,0.850792,-9.65967,0.000888,0,0.171228,-1.25262,0.962714,-1456,-61247.0,73.62
199766753,-0.00412651,0.00803172,-0.0223709,0.000888,0,-1.28522,-1.21614,-6.9514,0.000888,0,0.111867,-1.32277,1.01301,-5456,-61247.0,73.62
199769806,-0.0209044,-0.100448,-0.0265654,0.001176,0,0.662418,0.834984,-11.4134,0.001176,0,0.111867,-1.32277,1.01301,-8509,-61247.0,73.62
199773906,0.0253014,-0.138398,0.00326204,0.001176,0,2.94912,1.63935,-11.4552,0.001176,-1087,0.111867,-1.32277,1.01301,-12609,-61247.0,73.62
199776926,0.0124231,0.0261285,-0.0378933,0.001029,0,-2.00866,-0.209574,-5.60646,0.001029,0,0.174826,-1.22384,0.94537,-15629,-61247.0,73.62
199780829,-0.00994743,-0.0239389,-0.0344693,0.001036,0,-3.27221,2.02584,-10.8155,0.001036,0,0.174826,-1.22384,0.94537,-19532,-61247.0,73.62
