timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
199705870,0.0195769,-0.0222093,0.00113364,-0.752473,0.0399133,-7.2617e-05,0.657413
199707897,-0.0251414,0.0214569,0.000435499,-0.752473,0.0399078,-8.95541e-05,0.657413
199708715,-0.0194773,0.0182739,-0.0083813,-0.752472,0.039904,-0.000101289,0.657415
199709815,0.0108986,-0.0110998,-0.00820064,-0.752472,0.0398995,-9.78391e-05,0.657415
199713773,-0.0149843,0.0184688,0.00109747,-0.752473,0.0398895,-0.000134446,0.657414
199716844,0.019252,-0.00472436,-0.00612991,-0.75246,0.0398772,-8.15733e-05,0.65743
199720741,0.0154942,-0.0323469,-0.0229092,-0.752459,0.0398764,-8.96551e-05,0.65743
199724785,-0.00452148,0.0024277,0.00957677,-0.752459,0.0398639,-0.000108926,0.657432
199727744,-0.0108664,-0.0138169,-0.0105008,-0.752459,0.0398603,-0.000104104,0.657432
199731843,-0.03172,-0.0420034,-0.0123024,-0.752456,0.0398753,-0.000102022,0.657435
199734778,0.0331334,0.0311993,-0.00570271,-0.752456,0.0398534,-8.88888e-05,0.657435
199737902,0.0031289,-0.0182999,0.0203019,-0.752456,0.039865,-0.000123451,0.657435
199741767,0.0136281,-0.042739,-0.0375447,-0.752456,0.0398375,-0.000125576,0.657437
199745875,-0.0326407,-0.00152187,-0.0283162,-0.752442,0.0398502,-0.000149495,0.657452
199748814,0.0286914,0.0436696,0.00521308,-0.752432,0.0398104,-0.000119743,0.657466
199751773,-0.0261358,-0.0566808,-0.00347216,-0.75243,0.0398513,-0.000116859,0.657466
199755792,0.114136,-0.090281,0.0109939,-0.75243,0.0398212,-0.000100132,0.657467
199759761,0.0121355,-0.0251233,0.00991689,-0.752432,0.0398236,-0.000127754,0.657465
199762753,-0.0122835,0.0714695,-0.0173752,-0.752433,0.0397948,-0.000131572,0.657465
199766753,-0.0432058,0.0124277,-0.00946631,-0.752433,0.0398137,-0.000124101,0.657464
199769806,0.0490186,-0.0798479,0.011872,-0.752435,0.0397894,-6.37496e-05,0.657464
199773906,-0.00243642,-0.0218352,0.026688,-0.752436,0.0398125,-0.000128772,0.657461
199776926,0.00112541,0.0592245,-0.0409208,-0.752437,0.0398019,-0.000115673,0.657461
199780829,-0.0356154,-0.0424765,0.0120815,-0.752436,0.0398105,-0.000139552,0.657461
199783755,0.0018514,-0.0224111,-0.00854817,-0.752434,0.039785,-0.000120526,0.657465
199786717,0.0712512,0.00615693,-0.00689831,-0.752433,0.0397875,-9.17119e-05,0.657466
199794786,0.0111005,0.040903,-0.00879181,-0.752428,0.0398276,-8.33778e-05,0.65747
199801742,-0.0481462,-0.0337887,0.0118559,-0.752421,0.0398579,-8.34127e-05,0.657475
199804796,0.00479125,0.0399581,-0.02514,-0.752418,0.0398369,-6.0897e-05,0.657481
199807792,0.0371478,0.0325139,0.0153243,-0.752418,0.0398334,-6.04903e-05,0.657481
199810784,-0.0296702,-0.058938,-0.00251419,-0.752416,0.0398251,-7.45345e-05,0.657483
199815791,-0.0153055,-0.0317895,-0.00314592,-0.752403,0.0398385,-4.78072e-05,0.657497
199822767,0.0190459,0.0160543,-0.0309113,-0.752404,0.0398022,-1.83452e-05,0.657499
199825968,0.0145247,0.00195385,0.0112152,-0.752402,0.0398142,-2.96052e-05,0.6575
199829777,0.034004,0.0318783,-0.0128067,-0.752405,0.0397968,-6.14231e-06,0.657498
199832801,-0.0389,-0.0472944,0.00589836,-0.752405,0.0397947,-2.08503e-05,0.657498
199836790,0.0252173,0.00430572,-0.00230785,-0.752407,0.039782,-1.53688e-06,0.657497
199839847,-0.0601533,0.000968926,-0.00555681,-0.752402,0.0398394,-9.25546e-06,0.657499
199843817,0.0546346,-0.00289119,-0.00211146,-0.752404,0.0398137,2.57477e-05,0.657498
199846793,-0.021994,0.0142963,0.0297077,-0.752405,0.0397938,-5.97544e-05,0.657498
199850930,0.0236257,0.0367503,-0.0397563,-0.752418,0.039756,-9.5309e-07,0.657485
199853808,-0.0462922,-0.0251436,0.00207998,-0.752416,0.0397944,-1.92024e-05,0.657485
199856890,-0.0420351,-0.0161419,-0.0129318,-0.752417,0.0397838,-1.39659e-05,0.657485
199860793,0.0709228,-0.0124936,0.0205257,-0.752401,0.0397946,-7.26011e-06,0.657502
199864809,-0.00215666,0.054002,-0.00719256,-0.75239,0.0397497,5.66665e-05,0.657517
199866691,-0.0464355,0.000505257,0.0153266,-0.752389,0.0397825,2.81509e-06,0.657517
199871786,-0.0462784,-0.0686622,-0.0200205,-0.752383,0.0398026,-4.8502e-05,0.657522
199874837,0.097757,-0.0254891,-0.00994842,-0.752391,0.0397447,4.5355e-05,0.657516
199877817,0.0245792,-1.19619e-05,0.0131968,-0.752392,0.0397359,0.000108506,0.657516
199881807,0.07381,0.0362764,0.0129074,-0.752387,0.0397725,6.12079e-05,0.657519
199885838,0.0459672,-0.00288072,-0.0232958,-0.752393,0.0397566,-2.62497e-06,0.657514
199886824,0.0688455,-0.0286212,-0.00417001,-0.752394,0.0397396,2.61731e-05,0.657514
199893823,0.0460124,-0.0236144,-0.0275037,-0.752396,0.0397788,0.000108277,0.657508
199898813,-0.0625997,0.0764038,0.0101341,-0.752398,0.0397051,4.9788e-05,0.657511
199902789,0.0306088,-0.0651549,-0.0250172,-0.752398,0.0397048,0.0001343,0.657511
199906745,-0.0609909,0.00980407,-0.00393722,-0.75239,0.0397581,0.00015792,0.657517
199909921,0.0328697,0.0033767,-0.00154781,-0.752365,0.0397268,0.000162777,0.657548
199913901,-0.144054,-0.00752547,-0.00658822,-0.752371,0.0397332,6.01626e-05,0.65754
199916812,0.0879625,-0.0805257,-0.0233081,-0.752371,0.0397264,0.000193911,0.657541
199920885,-0.0367825,0.0546096,0.0162956,-0.75237,0.0397305,0.000205996,0.657541
199923796,0.0424891,0.0257085,-0.00284088,-0.75237,0.0396896,0.000188843,0.657544
199927780,-0.0453745,-0.00558367,-0.00436264,-0.752369,0.0397145,0.000112574,0.657544
199930827,0.0766183,-0.0297284,-0.021285,-0.75237,0.03972,0.000126882,0.657542
199934823,-0.0193267,0.0360234,0.0273151,-0.752367,0.0396585,0.00018459,0.65755
199936733,-0.107641,-0.0166339,0.0168679,-0.752364,0.0397233,0.000111088,0.657549
199941887,0.100521,0.011427,-0.00761692,-0.75237,0.039609,0.000191736,0.657548
199944826,-0.000665074,-0.0285431,0.00248556,-0.752375,0.0396642,0.000166181,0.657539
199948858,0.00525069,0.0303762,-0.0105385,-0.752372,0.0396527,0.000226609,0.657544
199951975,-0.0729551,-0.0147849,0.0147524,-0.75237,0.0396969,0.000116355,0.657544
199955857,-0.0362337,-0.0469263,0.00166689,-0.752367,0.0396349,0.000171258,0.657551
199958852,-0.0100561,-0.0633482,-0.0081989,-0.752364,0.039653,0.000164808,0.657553
199961922,0.0427338,0.0112844,-0.0167371,-0.752365,0.0396382,0.000263646,0.657553
199965893,-0.0434549,0.0583116,0.0119115,-0.752362,0.0396091,0.000122857,0.657558
199969815,-0.0153329,-0.0319461,-0.0104664,-0.752364,0.039611,0.000141864,0.657556
199972881,-0.00762221,-0.0820084,0.00539746,-0.752362,0.0396452,0.000216606,0.657556
199976776,0.0236314,0.0334584,0.00417987,-0.75237,0.0396052,0.000262598,0.657549
199980695,-0.0802798,0.0504782,0.00835123,-0.752371,0.0395665,0.000100157,0.657551
199983792,0.0757561,-0.0497271,-0.0306318,-0.75237,0.039601,0.000219068,0.657549
199986925,-0.0406416,-0.0684431,0.00675104,-0.752366,0.0396692,0.000257531,0.65755
199989779,0.0658268,0.0478553,-0.00641087,-0.752367,0.0396007,0.000231149,0.657553
199993869,-0.11961,0.102937,0.0331115,-0.75237,0.0395515,0.000150671,0.657552
199996853,0.0913332,-0.159936,-0.0248368,-0.752358,0.0396439,0.000188834,0.657561
200000787,-0.0577505,-0.122179,0.0393031,-0.752369,0.0396343,0.000326621,0.657549
200004734,-0.045625,-0.00627912,-0.0242939,-0.752372,0.0396696,0.000309531,0.657543
200007797,-0.0622293,0.125166,0.0208908,-0.752377,0.0395912,0.000266562,0.657542
200011788,0.111628,-0.0128092,-0.0229084,-0.752365,0.0396064,0.000215922,0.657554
200014969,-0.0055899,-0.110938,0.0025502,-0.752364,0.0396056,0.00029169,0.657556
200018795,-0.0318263,0.0200888,-0.0137882,-0.752364,0.0396064,0.000266053,0.657556
200021952,-0.00736486,0.0937982,0.00935195,-0.752374,0.0395189,0.000215712,0.65755
200024716,-0.0593311,-0.0639133,0.00476129,-0.752372,0.0395639,0.000145614,0.657549
200028691,0.0289235,-0.131746,0.00112438,-0.752369,0.0396184,0.000305758,0.65755
200032780,-0.115069,0.107892,0.00813268,-0.752368,0.0396367,0.000231626,0.657549
