timestamp,ref_timestamp,ref_lat,ref_lon,surface_bottom_timestamp,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,estimator_type,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
199704141,0,0.0,0.0,0,1.68536,-0.238959,1.42753,0.0,0.0,0.0,-0.00483578,0.0130574,-0.0182852,0.0,0.0,0.0,0.0,0.0,0.0,-1.43457,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199709339,0,0.0,0.0,0,1.68533,-0.238894,1.42743,0.0,0.0,0.0,-0.00498338,0.0130991,-0.0186672,0.0,0.0,0.0,0.0,0.0,0.0,-1.43458,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199709339,0,0.0,0.0,0,1.68533,-0.238894,1.42743,0.0,0.0,0.0,-0.00498338,0.0130991,-0.0186672,0.0,0.0,0.0,0.0,0.0,0.0,-1.43458,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199716975,0,0.0,0.0,0,1.68545,-0.23923,1.42871,0.0,0.0,0.0,-0.00318618,0.00997987,-0.0102302,0.0,0.0,0.0,0.0,0.0,0.0,-1.43462,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199719543,0,0.0,0.0,0,1.68544,-0.239178,1.42866,0.0,0.0,0.0,-0.00343311,0.0104935,-0.0102855,0.0,0.0,0.0,0.0,0.0,0.0,-1.43462,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199724509,0,0.0,0.0,0,1.68542,-0.239123,1.4286,0.0,0.0,0.0,-0.00330472,0.0109,-0.0101538,0.0,0.0,0.0,0.0,0.0,0.0,-1.43462,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199729262,0,0.0,0.0,0,1.6854,-0.239066,1.42855,0.0,0.0,0.0,-0.00285156,0.0115217,-0.0112097,0.0,0.0,0.0,0.0,0.0,0.0,-1.43463,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199734456,0,0.0,0.0,0,1.68539,-0.239007,1.42849,0.0,0.0,0.0,-0.00270335,0.0116922,-0.0122411,0.0,0.0,0.0,0.0,0.0,0.0,-1.43463,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199739730,0,0.0,0.0,0,1.68537,-0.238948,1.42842,0.0,0.0,0.0,-0.00367291,0.0117111,-0.0128424,0.0,0.0,0.0,0.0,0.0,0.0,-1.43464,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199744720,0,0.0,0.0,0,1.68535,-0.23889,1.42836,0.0,0.0,0.0,-0.00455563,0.0116067,-0.0125577,0.0,0.0,0.0,0.0,0.0,0.0,-1.43468,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199749293,0,0.0,0.0,0,1.68533,-0.238826,1.42829,0.0,0.0,0.0,-0.00434151,0.012742,-0.0134285,0.0,0.0,0.0,0.0,0.0,0.0,-1.43471,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199754227,0,0.0,0.0,0,1.68531,-0.238758,1.42821,0.0,0.0,0.0,-0.00391616,0.0137265,-0.0163731,0.0,0.0,0.0,0.0,0.0,0.0,-1.43472,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199759349,0,0.0,0.0,0,1.68529,-0.238686,1.42813,0.0,0.0,0.0,-0.00410888,0.0143706,-0.0166,0.0,0.0,0.0,0.0,0.0,0.0,-1.43471,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199764345,0,0.0,0.0,0,1.68527,-0.238611,1.42805,0.0,0.0,0.0,-0.00418088,0.0148166,-0.0157389,0.0,0.0,0.0,0.0,0.0,0.0,-1.43471,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199769298,0,0.0,0.0,0,1.68525,-0.238538,1.42797,0.0,0.0,0.0,-0.00437344,0.0147676,-0.016559,0.0,0.0,0.0,0.0,0.0,0.0,-1.43471,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199774301,0,0.0,0.0,0,1.68522,-0.238465,1.42788,0.0,0.0,0.0,-0.00442044,0.0143844,-0.0165818,0.0,0.0,0.0,0.0,0.0,0.0,-1.4347,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199779465,0,0.0,0.0,0,1.6852,-0.238392,1.4278,0.0,0.0,0.0,-0.00495761,0.0146483,-0.0169939,0.0,0.0,0.0,0.0,0.0,0.0,-1.4347,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199784368,0,0.0,0.0,0,1.68517,-0.238315,1.42771,0.0,0.0,0.0,-0.00514919,0.0153197,-0.0169944,0.0,0.0,0.0,0.0,0.0,0.0,-1.43471,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199794302,0,0.0,0.0,0,1.68511,-0.238173,1.42754,0.0,0.0,0.0,-0.00696629,0.0137428,-0.0182535,0.0,0.0,0.0,0.0,0.0,0.0,-1.43472,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199799350,0,0.0,0.0,0,1.68507,-0.238105,1.42745,0.0,0.0,0.0,-0.00767435,0.0135697,-0.0188322,0.0,0.0,0.0,0.0,0.0,0.0,-1.43474,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199804313,0,0.0,0.0,0,1.68502,-0.238032,1.42735,0.0,0.0,0.0,-0.00919518,0.0146046,-0.0180833,0.0,0.0,0.0,0.0,0.0,0.0,-1.43475,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199809460,0,0.0,0.0,0,1.68497,-0.237952,1.42726,0.0,0.0,0.0,-0.0100121,0.0159916,-0.0189673,0.0,0.0,0.0,0.0,0.0,0.0,-1.43476,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199814355,0,0.0,0.0,0,1.68527,-0.238436,1.42904,0.0,0.0,0.0,-0.00830065,0.0126677,-0.0107531,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199819858,0,0.0,0.0,0,1.68523,-0.23837,1.42899,0.0,0.0,0.0,-0.00849414,0.013041,-0.0115827,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199824391,0,0.0,0.0,0,1.68518,-0.238308,1.42893,0.0,0.0,0.0,-0.00885318,0.0125061,-0.0119978,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199829365,0,0.0,0.0,0,1.68513,-0.238248,1.42887,0.0,0.0,0.0,-0.00969696,0.0119687,-0.0107568,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199834645,0,0.0,0.0,0,1.68509,-0.238189,1.42882,0.0,0.0,0.0,-0.00980258,0.0117275,-0.0103139,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199839388,0,0.0,0.0,0,1.68504,-0.23813,1.42876,0.0,0.0,0.0,-0.00892565,0.0117189,-0.012496,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199844477,0,0.0,0.0,0,1.685,-0.238068,1.42869,0.0,0.0,0.0,-0.00878861,0.0123482,-0.0133021,0.0,0.0,0.0,0.0,0.0,0.0,-1.4348,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199849494,0,0.0,0.0,0,1.68495,-0.238008,1.42863,0.0,0.0,0.0,-0.00917359,0.0120396,-0.0119889,0.0,0.0,0.0,0.0,0.0,0.0,-1.43477,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199854471,0,0.0,0.0,0,1.68489,-0.237946,1.42858,0.0,0.0,0.0,-0.0114342,0.0123999,-0.0105472,0.0,0.0,0.0,0.0,0.0,0.0,-1.43476,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199859800,0,0.0,0.0,0,1.68483,-0.237877,1.42851,0.0,0.0,0.0,-0.0120322,0.0138705,-0.0146449,0.0,0.0,0.0,0.0,0.0,0.0,-1.43481,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199864599,0,0.0,0.0,0,1.68477,-0.237804,1.42843,0.0,0.0,0.0,-0.0117753,0.0144656,-0.0155678,0.0,0.0,0.0,0.0,0.0,0.0,-1.43485,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199869633,0,0.0,0.0,0,1.68471,-0.237731,1.42837,0.0,0.0,0.0,-0.0127731,0.0146914,-0.0120799,0.0,0.0,0.0,0.0,0.0,0.0,-1.43486,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199874454,0,0.0,0.0,0,1.68464,-0.237651,1.4283,0.0,0.0,0.0,-0.0136605,0.0158672,-0.0142741,0.0,0.0,0.0,0.0,0.0,0.0,-1.43485,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199879964,0,0.0,0.0,0,1.68457,-0.237573,1.42823,0.0,0.0,0.0,-0.0149779,0.0155659,-0.013999,0.0,0.0,0.0,0.0,0.0,0.0,-1.43486,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199884999,0,0.0,0.0,0,1.6845,-0.237495,1.42815,0.0,0.0,0.0,-0.0139975,0.0155362,-0.0148106,0.0,0.0,0.0,0.0,0.0,0.0,-1.43484,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199894524,0,0.0,0.0,0,1.68436,-0.237338,1.42801,0.0,0.0,0.0,-0.0145087,0.0156125,-0.0127728,0.0,0.0,0.0,0.0,0.0,0.0,-1.43483,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199899471,0,0.0,0.0,0,1.68427,-0.237255,1.42793,0.0,0.0,0.0,-0.0162969,0.0166483,-0.0144339,0.0,0.0,0.0,0.0,0.0,0.0,-1.43483,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199905129,0,0.0,0.0,0,1.6842,-0.237171,1.42784,0.0,0.0,0.0,-0.014788,0.0167027,-0.0190867,0.0,0.0,0.0,0.0,0.0,0.0,-1.43485,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199909467,0,0.0,0.0,0,1.68469,-0.239125,1.4286,0.0,0.0,0.0,-0.0122253,0.0114224,-0.00408519,0.0,0.0,0.0,0.0,0.0,0.0,-1.43493,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199914560,0,0.0,0.0,0,1.68463,-0.239067,1.42857,0.0,0.0,0.0,-0.0120496,0.0116012,-0.00617681,0.0,0.0,0.0,0.0,0.0,0.0,-1.43491,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199919893,0,0.0,0.0,0,1.68458,-0.239007,1.42853,0.0,0.0,0.0,-0.0109822,0.0119441,-0.0085591,0.0,0.0,0.0,0.0,0.0,0.0,-1.43491,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199924539,0,0.0,0.0,0,1.68452,-0.238951,1.4285,0.0,0.0,0.0,-0.011591,0.0113369,-0.0054612,0.0,0.0,0.0,0.0,0.0,0.0,-1.43492,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199929628,0,0.0,0.0,0,1.68446,-0.238892,1.42846,0.0,0.0,0.0,-0.0126286,0.0117618,-0.00766983,0.0,0.0,0.0,0.0,0.0,0.0,-1.43492,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199934542,0,0.0,0.0,0,1.6844,-0.23883,1.42843,0.0,0.0,0.0,-0.0122178,0.0123949,-0.00586414,0.0,0.0,0.0,0.0,0.0,0.0,-1.43493,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199939775,0,0.0,0.0,0,1.68434,-0.238768,1.4284,0.0,0.0,0.0,-0.0113507,0.012243,-0.00676072,0.0,0.0,0.0,0.0,0.0,0.0,-1.43493,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199944574,0,0.0,0.0,0,1.68428,-0.238709,1.42836,0.0,0.0,0.0,-0.0110792,0.0118219,-0.00835472,0.0,0.0,0.0,0.0,0.0,0.0,-1.43491,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199949629,0,0.0,0.0,0,1.68423,-0.238649,1.42833,0.0,0.0,0.0,-0.0102232,0.0119866,-0.00588245,0.0,0.0,0.0,0.0,0.0,0.0,-1.43492,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199954692,0,0.0,0.0,0,1.68418,-0.238582,1.4283,0.0,0.0,0.0,-0.0103162,0.0133112,-0.00642505,0.0,0.0,0.0,0.0,0.0,0.0,-1.43494,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199959643,0,0.0,0.0,0,1.68413,-0.238517,1.42825,0.0,0.0,0.0,-0.0106416,0.0130101,-0.00906294,0.0,0.0,0.0,0.0,0.0,0.0,-1.43494,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199964765,0,0.0,0.0,0,1.68408,-0.238455,1.42822,0.0,0.0,0.0,-0.0100232,0.0124907,-0.00675812,0.0,0.0,0.0,0.0,0.0,0.0,-1.43496,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199969662,0,0.0,0.0,0,1.68403,-0.238391,1.42818,0.0,0.0,0.0,-0.00946813,0.0126465,-0.00780928,0.0,0.0,0.0,0.0,0.0,0.0,-1.43495,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
199974819,0,0.0,0.0,0,1.68398,-0.238332,1.42815,0.0,0.0,0.0,-0.0095059,0.0118575,-0.00541002,0.0,0.0,0.0,0.0,0.0,0.0,-1.43493,0.0,0.0,0.0,0.0,0.0,0,1,1,1,1,0,0,0,0,0,0,0
